"filename", "language", "HTML", "Kotlin", "Dart", "XML", "YAML", "C++", "Swift", "comment", "blank", "total"
"/Users/omarragab/Projects/kutub_fm/lib/features/community/presentation/pages/post_details_screen.dart", "Dart", 0, 0, 89, 0, 0, 0, 0, 0, 17, 106
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/continue_reading_screen.dart", "Dart", 0, 0, 259, 0, 0, 0, 0, 4, 12, 275
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/home_screen.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/domain/entities/podcast.dart", "Dart", 0, 0, 89, 0, 0, 0, 0, 1, 8, 98
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/domain/entities/podcast_episode.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 32
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/pages/podcast_detail_page.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 1, 5, 106
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/pages/podcast_list_page.dart", "Dart", 0, 0, 199, 0, 0, 0, 0, 1, 6, 206
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/providers/podcast_provider.dart", "Dart", 0, 0, 363, 0, 0, 0, 0, -3, 11, 371
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/data/repositories/profile_repository.dart", "Dart", 0, 0, -40, 0, 0, 0, 0, -1, -2, -43
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/domain/entities/user_activity.dart", "Dart", 0, 0, 119, 0, 0, 0, 0, 2, 6, 127
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/domain/entities/user_profile.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/pages/profile_screen.dart", "Dart", 0, 0, 107, 0, 0, 0, 0, 25, 20, 152
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/viewmodels/profile_viewmodel.dart", "Dart", 0, 0, 147, 0, 0, 0, 0, 1, 9, 157
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/data/datasources/firebase_fm_radio_data_source.dart", "Dart", 0, 0, 96, 0, 0, 0, 0, 0, 3, 99
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/data/models/fm_station_model.dart", "Dart", 0, 0, 98, 0, 0, 0, 0, 0, 7, 105
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/domain/fm_station.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 3, 6, 33
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/presentation/pages/fm_radio_screen.dart", "Dart", 0, 0, 137, 0, 0, 0, 0, -1, 10, 146
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/presentation/pages/fm_station_detail_screen.dart", "Dart", 0, 0, 188, 0, 0, 0, 0, 2, 11, 201
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/presentation/viewmodels/fm_radio_view_model.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"/Users/omarragab/Projects/kutub_fm/lib/features/reader_sessions/presentation/providers/reader_sessions_provider.dart", "Dart", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"/Users/omarragab/Projects/kutub_fm/lib/features/reels/data/services/reel_api_service.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/omarragab/Projects/kutub_fm/lib/features/reels/domain/entities/reel_model.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, -1, 6, 64
"/Users/omarragab/Projects/kutub_fm/lib/features/reels/presentation/viewmodels/reels_view_model.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, -2, 0, 10
"/Users/omarragab/Projects/kutub_fm/linux/runner/my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, -7, 0, 0
"/Users/omarragab/Projects/kutub_fm/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/omarragab/Projects/kutub_fm/pubspec.yaml", "YAML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"/Users/omarragab/Projects/kutub_fm/stitch_downloads/authentication_register.html", "HTML", 12, 0, 0, 0, 0, 0, 0, -12, 0, 0
"/Users/omarragab/Projects/kutub_fm/stitch_downloads/category_selection.html", "HTML", 19, 0, 0, 0, 0, 0, 0, -19, 0, 0
"/Users/omarragab/Projects/kutub_fm/stitch_downloads/home_hub.html", "HTML", 16, 0, 0, 0, 0, 0, 0, -16, 0, 0
"/Users/omarragab/Projects/kutub_fm/stitch_downloads/onboarding_discover.html", "HTML", 13, 0, 0, 0, 0, 0, 0, -13, 0, 0
"/Users/omarragab/Projects/kutub_fm/stitch_downloads/splash_screen.html", "HTML", 15, 0, 0, 0, 0, 0, 0, -15, 0, 0
"/Users/omarragab/Projects/kutub_fm/test/features/audio_library/audio_library_screen_test.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"/Users/omarragab/Projects/kutub_fm/test/features/book_reader/bookmark_service_test.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 9, 75
"/Users/omarragab/Projects/kutub_fm/test/features/book_reader/transcript_selection_mapper_test.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 14, 71
"/Users/omarragab/Projects/kutub_fm/web/index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, -23, 4, 0
"Total", "-", 96, 81, 5509, 53, 2, 7, 2, -75, 483, 6158
