"filename", "language", "Dart", "Python", "JSON", "HTML", "YAML", "C++", "XML", "Swift", "Markdown", "Kotlin", "comment", "blank", "total"
"/Users/omarragab/Projects/kutub_fm/lib/core/validators/auth_validators.dart", "Dart", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39, 198
"/Users/omarragab/Projects/kutub_fm/lib/core/widgets/kotob_fm_logo.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_library/presentation/pages/audio_library_screen.dart", "Dart", 923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 40, 1003
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_library/presentation/viewmodels/audio_library_viewmodel.dart", "Dart", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 328
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_player/domain/entities/audio_story.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_player/presentation/pages/audio_player_screen.dart", "Dart", 448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, -1, 462
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_player/presentation/widgets/floating_book_cover.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/omarragab/Projects/kutub_fm/lib/features/audio_player/presentation/widgets/rich_transcript_view.dart", "Dart", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/PHONE_AUTH_SETUP_NOTES.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 22, 78
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/data/models/app_user_model.dart", "Dart", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 153
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/data/services/firebase_auth_service.dart", "Dart", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 132
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/data/services/firebase_storage_service.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/data/services/user_firestore_service.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 66
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/facebook_login_screen.dart", "Dart", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 263
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/category_selection_screen.dart", "Dart", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 16, 118
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/login_page.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 92
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/login_screen_controller.dart", "Dart", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 175
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/widgets/login_buttons.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/widgets/login_email_field.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/widgets/login_footer.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/widgets/login_form.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/widgets/login_header.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/omarragab/Projects/kutub_fm/lib/features/auth/presentation/pages/login/widgets/login_password_field.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
